"APPENDIX A
1420,NI,Music Services,Men s Concert Choir,GK,NI,Huntin gburg,IN,"Wednesday,
)ebruary 08,
1950",High School,NI,Assembly,NI,NI,7RUE,1 50 pm,"High School
Gymnasi um"
1422,NI,Music Services,Men s Concert Choir,GK,NI,New Alban y,IN,"7hursday,
)ebruary 09,
1950",Music Department of New Albany Senior High School,NI,Assembly Program,NI,NI,7RUE,1 45 pm,"New Albany High School
Gymnasi um"
1423,NI,Music Services,Men s Concert Choir,GK,NI,New Alban y,IN,"7hursday,
)ebruary 09,
1950",Music Department of New Albany Senior High School,NI,Public Evening Concert,NI,NI,7RUE,8 00 pm,"Auditori um of New Albany Senior High
School"
1424,NI,Music Services,Men s Concert Choir,GK,NI,Martin sville,IN,")riday, )ebruary 10, 1950","Kiwanis Club (the Underprivleged Children s
Comm.)",NI,Public Evening Concert,NI,NI,7RUE,8 00 pm,"Martinsv ille High School Auditori
um"
"Show
ID","Contra
ct Numb er","Contract
ed Through","Group
Name","Condu
ctor","Group
Size",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1425,NI,"Music
Services","Men s
Concert Choir",GK,NI,"Indian
apolis",IN,"Wednesday,
February 15,
1950","State -ewelers 
Association",NI,"Convention
BanTuet",NI,NI,TRUE,9 00 pm,"/incoln
Hotel Troverti
ne Room"
1426,NI,Music Services,Men s Concert Choir,GK,NI,Indian apolis,IN,"Thursday, April 27, 1950",IU Women s Club of Indianapolis,NI,Public Concert,NI,NI,TRUE,8 00 pm,"IU
Building
, State Fair Grounds"
1427,NI,Music Services,Men s Concert Choir,GK,NI,"French
/ick",IN,"Thursday, April 27, 1950",Indiana Gas Association,NI,Convention BanTuet Program,NI,NI,TRUE,2 00 pm,Springs Hotel
1428,NI,Music Services,"Men s
Concert Choir",GK,NI,Indian apolis,IN,"Monday, May 08, 1950","State Convention
- Osteopaths","1
Hour",BanTuet Program,NI,NI,TRUE,8 00 pm,Claypoo l Hotel
1321,49z,Indiana Universit y Auditori um,Singing Hoosiers,GK,NI,Bloom ington,IN,"Sunday, September 24,
1950",School of Music,NI,Orientation Program,NI,NI,TRUE,2 00 pm,"IU
Auditori um"
1872,NI,NI,Men s Concert Choir,GK,,Bloom ington,IN,"Sunday, September 24,
1950",NI,NI,Orientation Program,NI,NI,FA/SE,10 00 am & 2 00 pm,"IU
Auditori um"
1853,NI,"IU
Musical Organiza
tions",Men s Concert Choir,GK,,Mario n,IN,"Wednesday, October 11, 1950",Community Chest,,,NI,NI,TRUE,7 30 pm,"Marion H.S.
Auditori um"
1322,NI,Musical Organiza tions,Men s Concert Choir,GK,NI,Mario n,IN,"Wednesday, October 11, 1950",Community Chest,"2
hours",Kick-off Meeting,NI,NI,TRUE,7 30 pm,"Marion High School
Auditori um"
1346,NI,NI,Singing Hoosiers,GK,NI,Indian apolis,IN,"Wednesday, October 11, 1950",NI,NI,"Appearance
Before Governor",NI,NI,FA/SE,NI,NI
